,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
124478,MX,mccredit,554629.0,39900.0,MXN,MX,Ecommerce,TRUE,0,1439406095.0,MexicoAccount,110639,111251,40390,1,2015-8-12
124561,AU,mccredit,535316.0,29500.0,AUD,AU,Ecommerce,TRUE,0,1439363305.0,APACAccount,67328,55261,211875,1,2015-8-12
126339,MX,visaclassic,477291.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1439429280.0,MexicoAccount,272807,112324,271123,1,2015-8-13
126340,MX,mccredit,520416.0,29900.0,MXN,MX,Ecommerce,TRUE,0,1439500361.0,MexicoAccount,254473,79224,170352,1,2015-8-13
126425,AU,mccredit,535316.0,20000.0,AUD,AU,Ecommerce,TRUE,0,1439443974.0,APACAccount,222264,132795,115823,1,2015-8-13
130081,MX,visaplatinum,477214.0,174600.0,MXN,MX,Ecommerce,TRUE,0,1439625625.0,MexicoAccount,45467,79967,229586,1,2015-8-15
131719,AU,visapurchasing,471514.0,51000.0,AUD,AU,Ecommerce,TRUE,0,1439724766.0,APACAccount,35874,118330,23723,1,2015-8-16
133565,AU,mccredit,535316.0,54000.0,AUD,AU,Ecommerce,TRUE,0,1439770713.0,APACAccount,304043,55223,89312,1,2015-8-17
133566,AU,mccredit,535318.0,8850.0,AUD,AU,Ecommerce,TRUE,0,1439810037.0,APACAccount,155040,343,184954,1,2015-8-17
133567,AU,visaplatinum,456469.0,10850.0,AUD,AU,Ecommerce,TRUE,0,1439829539.0,APACAccount,37997,37667,262831,1,2015-8-17
135258,MX,visaclassic,493161.0,183900.0,MXN,MX,Ecommerce,TRUE,0,1439857642.0,MexicoAccount,260038,77098,171137,1,2015-8-18
135259,MX,mccredit,535875.0,79800.0,MXN,MX,Ecommerce,TRUE,0,1439911532.0,MexicoAccount,346417,113577,110464,1,2015-8-18
135368,AU,mccredit,552350.0,34500.0,AUD,AU,Ecommerce,TRUE,0,1439923954.0,APACAccount,37691,1044,5857,1,2015-8-18
140729,AU,mccredit,535316.0,17000.0,AUD,AU,Ecommerce,TRUE,0,1438535756.0,APACAccount,232674,23988,82287,1,2015-8-2
142336,SE,visaclassic,411824.0,299000.0,SEK,SE,Ecommerce,TRUE,1,1438527284.0,SwedenAccount,288927,199909,157361,1,2015-8-2
142519,MX,visaclassic,455500.0,399900.0,MXN,MX,Ecommerce,TRUE,0,1440022557.0,MexicoAccount,110975,67308,255653,1,2015-8-20
142520,MX,visaclassic,418080.0,83900.0,MXN,MX,Ecommerce,TRUE,0,1440043167.0,MexicoAccount,65572,81994,14537,1,2015-8-20
142521,MX,mccredit,554629.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1440043434.0,MexicoAccount,153790,55320,250241,1,2015-8-20
142522,MX,visaclassic,477291.0,199900.0,MXN,MX,Ecommerce,TRUE,0,1440099033.0,MexicoAccount,92808,69940,130901,1,2015-8-20
